Street,Price_Cleaned
"2 Stage, Uttarahalli Hobli",5400000.0
2nd Stage,21500000.0
"3rd Phase, Basaveshwara Nagar",3450000.0
"6th Phase, JP Nagar",4675000.0
"7th Phase, JP Nagar",6533333.333333333
"8th Block, Jayanagar",13000000.0
"8th Phase, JP Nagar",5200000.0
"9th Phase, JP Nagar",6885000.0
"AECS C Block, Begur",6166666.666666667
"AECS Layout, Marathahalli",9500000.0
"AECS Layout, Singasandra",6000000.0
"AMCO Colony, Koti Hosahalli",5800000.0
"AMS Layout, Vidyaranyapura",6500000.0
Aavalahalli,13021428.57142857
Abbigere,12500000.0
"Abbigere, Abbigere",8208333.333333333
Adugodi,49248000.0
Agrahara,7066666.666666667
Agrahara Layout,10762400.0
Aivarkhandpur,8357142.857142857
"Akshaya Gardens, Akshayanagar",4000000.0
"Akshaya Vana, Akshayanagar",9600000.0
Akshayanagar,9003333.333333334
Allalasandra,4466666.666666667
"Ambalipura, Harlur",5500000.0
Amrutahalli,13083333.333333334
Anagalapura,6833333.333333333
Anantapura,8485714.285714285
Anchepalya,6962900.0
Andrahalli,6816666.666666667
Anekal,6588850.0
Anjanapura,6000000.0
"Anjanapura 2nd Block, Lal Bahadur Shastri Nagar",11500000.0
"Anjanapura 5th Block, Anjanapura Township",14000000.0
"Anjanapura 9th Block, Anjanapura Township",7587500.0
Anjanapura Township,10185000.0
"Annaiah Reddy Layout, Dodda Banaswadi",9500000.0
Annapurneshwari Nagar,12366666.666666666
Arakere,12423076.923076924
Armane Nagar,11650000.0
Ashok Nagar,30500000.0
"Ashwath Nagar, Armane Nagar",35450000.0
Attibele,8125555.555555556
Attibele Industrial Area,8613333.333333334
Attiguppe,58330000.0
"Austin Town New Township, Neelasandra",6200000.0
Avalahalli,9500000.0
"Avalahalli - Yelahanka, Yelahanka",6000000.0
Azad Nagar,22000000.0
"B Narayanapura, Mahadevapura",5500000.0
"BEML Layout, Bagalur",9550000.0
"BEML Layout, RR Nagar",26300000.0
BTM Layout,17260606.060606062
Badamanavarthekaval,11410000.0
Bagalakunte,14277777.777777778
Bagalur,10533333.333333334
Bagepalli,900000.0
Baiyappanahalli,5250000.0
Balagere,13283333.333333334
"Balaji Layout, Kaggadasapura",4000000.0
Banashankari,14660769.23076923
"Banashankari 2nd Block, Kariyana Palya",1200000.0
"Banashankari 3rd Stage, Banashankari",12316666.666666666
Banashankari 6th Stage 6th Block,15442857.142857144
"Banashankari Stage I, Banashankari",20000000.0
Banaswadi,12690000.0
