Name,Property Title,Price,Total_Area,Price_per_SQFT,Description,Baths,Balcony,Unnamed: 8,Price_Cleaned,Apartment_Name,Street,City,Room Type,House Type,Has_Parking,Has_Swimming_Pool,Has_Gym,Near_Metro,Near_School,Near_Hospital,Gated_Community,Fully_Furnished,Semi_Furnished
"Scion Elite Apartments ,Byrasandra, C V Raman Nagar,Bangalore","3 BHK Flat for sale in C V Raman Nagar, Bangalore",₹56.0 L,1185,4720,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, C V Raman Nagar. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 3 floors. This Apartment is available at a reasonable price of Rs 55.0 L. Maintenance charges in this property is Rs 1500. The built up area of this property is 1185 Square feet. It is spacious for a family and this property has a carpet area of 950 Square feet. This property is East facing. There are 3 bedrooms and 2 bathroom. The Apartment has lift facil...",3,No,,5600000,Scion Elite Apartments,"Byrasandra, C V Raman Nagar",Bangalore,3 BHK,Flat,0,0,0,0,0,0,0,0,0
Provident Welworth City,"3 BHK Flat for sale in Bisuvanahalli, Bangalore",₹42.0 L,1075,3910,"It is in doddabalapur main road, gated community,club house, party hall, tennis court,basket ball court, batbinton court, swimming pool, jogging track,childer ply park, supermarket,etc..  every basic requirements inside only, surrounded with good school, hospital,mall, railway station, busstand, 15mnts to airport, 20 mnts to hebbal,  More About This Property A 3 BHK Apartment for sale in Bisuvanahalli, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Bisuvanahalli's most desired properties. Contact now for more i...",3,No,,4200000,Provident Welworth City,Bisuvanahalli,Bangalore,3 BHK,Flat,0,1,0,0,1,1,1,0,0
"Sukhi Apartments Rhenius Street,Richmond Town, Bangalore","3 BHK Flat for sale in Richmond Town, Bangalore",₹3.0 Cr,2722,11020,"A beautiful 1522 sq. ft. carpet area Penthouse off Richmond Road, with lots of light and breeze, and exclusive use of a 1200 sq. ft. terrace, is available for sale.

This 7th floor apartment has 3 spacious bedrooms with attached bathrooms, a well-planned kitchen, a large living room and dining area and an enclosed sit-out. Open to sunlight through the day with south and west facing windows, and the terrace on the east, it also comes with an open car park. The apartment has an ‘A’ Khata.

Situated on Rhenius street, opposite the Hockey Stadium, the building has 24-hour security, backup power an...",4,Yes,,30000000,Sukhi Apartments Rhenius Street,Richmond Town,Bangalore,3 BHK,Flat,0,0,0,0,0,0,0,0,0
"Kanka Nagar, Kumaraswamy Layout,Bangalore","6 BHK Independent House for sale in Kumaraswamy Layout, Bangalore",₹3.35 Cr,5500,6090,"Best 6 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 6 BHK property for sale in one of Bengaluru's top location, Kumaraswamy Layout. The property price of this unit is Rs 3.35 Cr. The built-up area is 5500 Square feet. There are 6 bedrooms and 6 bathroom. It is an ideal location for young families with kids, as this property is close to Bda Complex Banashankari, Jyothy Kendriya Vidyalaya, and Bunnies. Healthcare facility is also close at hand with Sagar Hospitals Kumaraswamy Layout, Sagar Hospitals Kumaraswamy Layout...",5,Yes,,33500000,Kanka Nagar,Kumaraswamy Layout,Bangalore,6 BHK,Independent House,0,0,0,0,0,0,0,0,0
Elgin Court,"3 BHK Flat for sale in Shanti Nagar, Bangalore",₹2.5 Cr,1750,14290,"Elgin Court is a landmark building done by Southern Investments in 1992/3. Walkable distance to Baldwin's Boys or Girls,Narayana Hridyalaya- City centre,SBI , shopping area of Nanjappa Circle , Hockey Club & Richmond park in Langford Town.Located in In CBD, Bangalore is 100 mts away from proposed Metro Station & 2.5 km from Brigade Road & MG Road.
Actual Carpet Areas - Living Room 25’x15’,Study 11’x11’,Kitchen 12.5’x11.5’’, 2 Bedrooms 13’x12’,1 Bedroom 13’x11’,3 Bathrooms 6.25’x7’,Builtin wardrobes in each bedroom & also garage ( for car + scooter ) in basement.Super built area 1750 sft ..carp...",3,Yes,,25000000,KSRTC Colony,Shanti Nagar,Bangalore,3 BHK,Flat,0,0,0,1,0,0,0,0,0
"Gollarapalya, Bangalore","9 BHK Independent House for sale in Gollarapalya, Bangalore",₹1.45 Cr,4500,3220,"Property for sale in Bidadi, Bengaluru. This 9 BHK Independent House is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 1.4 Cr. Homebuyers will also need to pay Rs 500 towards maintenance. This Independent House is a spacious unit, with carpet area of 4300 Square feet and is ideal for families. The built-up area is 4500 Square feet. The property has 9 bedrooms and 9 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as BHARATH ...",5,Yes,,14500000,Gollarapalya,Gollarapalya,Bangalore,9 BHK,Independent House,0,0,0,0,0,0,0,0,0
"Naganathapura, Rayasandra,Bangalore","10 BHK Flat for sale in Rayasandra, Bangalore",₹4.0 Cr,10500,3810,"Plot area 2200 SFT 
 G+4 
having 
24 No of 1BHK & 3 Shops at Ground floor.  Each  floor having 6 house's
Fully Furnished . 
Every house having GAIL gas connection. Property Rent 2 lacs plus as we provided at lower price with restriction of tenant selection. If convert to PG can fetch by 5 lacs. Construction been recently done . House entry from west side's. Shops at North facing. 100 Bike parking 
Having Own Trasfermer which shared by our back side our property. More About This Property 10 BHK Apartment for sale in Rayasandra, Bengaluru with modern-day amenities. This is an owner listed proper...",3,Yes,,40000000,Naganathapura,Rayasandra,Bangalore,10 BHK,Flat,1,0,0,0,0,0,0,1,0
Icon Iconest 3,"2 BHK Flat for sale in Bommasandra, Bangalore",₹43.0 L,683,6290,"2 BHK Apartment for sale in Yarandahalli, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Yarandahalli which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Yarandahalli. The property is on floor 2 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 43.0 L. Residents also need to pay maintenance charges of Rs 100. The built-up area is 683 Square feet. This property has provision for 1 bathroom...",2,No,,4300000,RK Township,Bommasandra,Bangalore,2 BHK,Flat,0,0,0,0,0,0,0,0,0
Shriram Blue,"3 BHK Flat for sale in Krishnarajapura, Bangalore",₹1.35 Cr,1650,8180,"Check out this 3 BHK Apartment for sale in K R Puram, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. K R Puram is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 11. The total number of floors in this project is 12. The property's price is Rs 1.25 Cr. This property is a modern-day abode, with 1650 Square feet built-up area. It is a West-facing property. The unit has 3 bedrooms and 3 bathroom....",3,Yes,,13500000,Sonnenahalli Colony,Krishnarajapura,Bangalore,3 BHK,Flat,0,0,0,0,0,0,0,0,0
"Shrivas serenity Lake veiw Gardens ,K Channasandra, Bangalore","2 BHK Flat for sale in K Channasandra, Bangalore",₹47.0 L,1150,4090,"The 2 bhk 1200 sft flat in 1st floor in a very beautiful and quiet place in lake view gardens shrivas serenity apartments modular kitchen wardrobes in 2 bedrooms and  covered  balconies 1 balcony is covered with grills and the other one is with glass all wood work is done 3 km from NRI layout 2 km from kalkere main road and horamavu agara Gandhi Statue 6 km from manyata tech park 8 km from phoenix mall 24 hours water and security  More About This Property 2 BHK Apartment for sale in K Channasandra, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no broke...",3,Yes,,4700000,Shrivas serenity Lake veiw Gardens,K Channasandra,Bangalore,2 BHK,Flat,0,0,0,0,0,0,0,0,0
