City,Room Type,House Type,count,mean,std,min,25%,50%,75%,max,Price_Range,IQR,Affordability_Score
Bangalore,1 BHK,Flat,159,5900295.597,27559163.27,654000,2200000,3100000,4600000,350000000,349346000,2400000,1.90332116
Bangalore,1 BHK,Independent House,163,6418337.423,5580705.627,280000,2400000,4800000,7500000,30000000,29720000,5100000,1.33715363
Bangalore,1 BHK,Villa,22,4682636.364,6441640.175,1800000,2325000,2500000,3975000,32000000,30200000,1650000,1.873054545
Bangalore,1 RK,Flat,22,7596818.182,13551743.3,530000,2500000,4250000,5000000,65400000,64870000,2500000,1.787486631
Bangalore,1 RK,Independent House,24,16972916.67,34778663.43,600000,3975000,6000000,8750000,137500000,136900000,4775000,2.828819444
Bangalore,1 RK,Villa,4,3924750,1761112.409,2400000,2400000,3899500,5424250,5500000,3100000,3024250,1.006475189
Bangalore,10 BHK,Flat,10,32950000,8889600.666,18000000,28000000,35000000,39875000,45000000,27000000,11875000,0.941428571
Bangalore,10 BHK,Independent House,69,27558260.87,21740797.31,500000,17800000,22500000,27500000,160000000,159500000,9700000,1.224811594
Bangalore,10 BHK,Villa,3,123500000,116540765.4,52500000,56250000,60000000,159000000,258000000,205500000,102750000,2.058333333
Bangalore,2 BHK,Flat,1402,6083255.35,2422842.305,200000,4500000,5800000,7400000,30000000,29800000,2900000,1.048837129
Bangalore,2 BHK,Independent House,361,9371174.515,7628749.631,100000,5500000,7500000,11500000,75000000,74900000,6000000,1.249489935
Bangalore,2 BHK,Villa,76,6418052.632,5334846.179,1590000,3800000,4500000,6325000,35000000,33410000,2525000,1.426233918
Bangalore,3 BHK,Flat,716,11127212.29,8747118.633,1800000,6900000,8950000,12500000,110000000,108200000,5600000,1.243263943
Bangalore,3 BHK,Independent House,332,12790710.85,10783976.33,3,7000000,9500000,14000000,95000000,94999997,7000000,1.346390616
Bangalore,3 BHK,Villa,120,16330275,33738137.73,400000,7500000,11100000,13600000,350000000,349600000,6100000,1.471195946
Bangalore,4 BHK,Flat,49,28005918.37,20226832.62,7500000,14800000,22500000,36000000,105000000,97500000,21200000,1.244707483
Bangalore,4 BHK,Independent House,277,17286281.6,11053979.51,2,10500000,14000000,22500000,80000000,79999998,12000000,1.2347344
Bangalore,4 BHK,Villa,80,26895000,21623562.51,5000000,14000000,23500000,32000000,150000000,145000000,18000000,1.144468085
Bangalore,5 BHK,Flat,37,17314459.46,12953086.28,3500000,6800000,16000000,20000000,55000000,51500000,13200000,1.082153716
Bangalore,5 BHK,Independent House,216,26200648.15,59577415.09,720000,10000000,15100000,28000000,840000000,839280000,18000000,1.735142261
Bangalore,5 BHK,Villa,37,28110810.81,19495690.89,2500000,13500000,25000000,35000000,79000000,76500000,21500000,1.124432432
Bangalore,5 RK,Independent House,1,46500000,,46500000,46500000,46500000,46500000,46500000,0,0,1
Bangalore,6 BHK,Flat,4,49625000,35386850.19,13500000,22125000,52500000,80000000,80000000,66500000,57875000,0.945238095
Bangalore,6 BHK,Independent House,125,20949200,19990644.97,750000,10500000,15000000,24000000,185000000,184250000,13500000,1.396613333
Bangalore,6 BHK,Villa,7,18857142.86,7503745.097,7000000,17100000,18000000,20150000,32500000,25500000,3050000,1.047619048
Bangalore,7 BHK,Independent House,80,17341250,9131413.214,6300000,11875000,15000000,20000000,56000000,49700000,8125000,1.156083333
Bangalore,7 BHK,Villa,4,35000000,31466913.84,9500000,15875000,25250000,44375000,80000000,70500000,28500000,1.386138614
Bangalore,8 BHK,Flat,2,32500000,24748737.34,15000000,23750000,32500000,41250000,50000000,35000000,17500000,1
Bangalore,8 BHK,Independent House,52,20146153.85,14036667.13,6200000,12900000,15300000,20000000,72500000,66300000,7100000,1.316742081
Bangalore,9 BHK,Independent House,44,32575000,43810793.64,6000000,14500000,20000000,29050000,285000000,279000000,14550000,1.62875
